Th1,FAR1,FRR1,Th2,FAR2,FRR2,Th3,FAR3,FRR3,Th4,FAR4,FRR4,Th5,FAR5,FRR5,Th6,FAR6,FRR6,Th7,FAR7,FRR7
,,,-8,0.02801505,0.383116883,,,,,,,,,,,,,-241,0.272966732,0.176651306
,,,-7,0.025523693,0.387445887,,,,,,,,,,,,,-240,0.271739915,0.176651306
,,,-6,0.022727273,0.393939394,,,,,,,,,,,,,-239,0.271090424,0.176651306
,,,-5,0.02054098,0.402597403,,,,,,,,,,,,,-238,0.27040485,0.178187404
,,,,,,,,,,,,,,,,,,-237,0.269358447,0.178187404
,,,,,,,,,,,,,,,,,,-236,0.268203796,0.178187404
,,,,,,,,,,,,,,,,,,-235,0.267409973,0.178187404
,,,,,,,,,,,,,,,,,,-234,0.266074908,0.181259601
,,,,,,,,,,,,,,,,,,-233,0.264848091,0.181259601
,,,,,,,,,,,,,,,,,,-232,0.263801689,0.182795699
,,,,,,,,,,,,,,,,,,-231,0.263116115,0.184331797
,,,,,,,,,,,,,,,,,,-230,0.262286209,0.184331797
,,,,,,,,,,,,,,,,,,-229,0.261095475,0.184331797
,,,,,,,,,,,,,,,,,,-228,0.260554233,0.184331797
,,,,,,,,,,,,,,,,,,-227,0.260229487,0.184331797
,,,,,,,,,,,,,,,,,,-226,0.259327416,0.184331797
,,,,,,,,,,,,,,,,,,-225,0.258317096,0.185867896
,,,,,,,,,,,,,,,,,,-224,0.257631522,0.185867896
,,,,,,,,,,,,,,,,,,-223,0.256476871,0.187403994
,,,,,,,,,,,,,,,,,,-222,0.255430468,0.187403994
,,,,,,,,,,,,,,,,,,-221,0.254636646,0.188940092
,,,,,,,,,,,,,,,,,,-220,0.253914989,0.188940092
,,,,,,,,,,,,,,,,,,-219,0.252832503,0.188940092
,,,,,,,,,,,,,,,,,,-218,0.251822184,0.188940092
,,,,,,,,,,,,,,,,,,-217,0.251064444,0.188940092
,,,,,,,,,,,,,,,,,,-216,0.250198456,0.188940092
,,,,,,,,,,,,,,,,,,-215,0.249152053,0.19047619
,,,,,,,,,,,,,,,,,,-214,0.247853071,0.192012289
,,,,,,,,,,,,,,,,,,-213,0.246842751,0.192012289
,,,,,,,,,,,,,,,,,,-212,0.245904597,0.192012289
,,,,,,,,,,,,,,,,,,-211,0.24467778,0.192012289
,,,,,,,,,,,,,,,,,,-210,0.243378798,0.192012289
,,,,,,,,,,,,,,,,,,-209,0.242729306,0.193548387
,,,,,,,,,,,,,,,,,,-208,0.241863318,0.193548387
,,,,,,,,,,,,,,,,,,-207,0.240780833,0.193548387
,,,,,,,,,,,,,,,,,,-206,0.239517933,0.193548387
,,,,,,,,,,,,,,,,,,-205,0.238688028,0.193548387
,,,,,,,,,,,,,,,,,,-204,0.237425128,0.193548387
,,,,,,,,,,,,,,,,,,-203,0.236342643,0.193548387
,,,,,,,,,,,,,,,,,,-202,0.235368406,0.193548387
,,,,,,,,,,,,,,,,,,-201,0.234033341,0.193548387
,,,,,,,,,,,,,,,,,,-200,0.233275601,0.193548387
,,,,,,,,,,,,,,,,,,-199,0.232229198,0.193548387
,,,,,,,,,,,,,,,,,,-198,0.23136321,0.196620584
,,,,,,,,,,,,,,,,,,-197,0.23060547,0.19969278
,,,,,,,,,,,,,,,,,,-196,0.229522985,0.19969278
,,,,,,,,,,,,,,,,,,-195,0.228656996,0.19969278
,,,,,,,,,,,,,,,,,,-194,0.227646677,0.19969278
,,,,,,,,,,,,,,,,,,-193,0.226528109,0.19969278
,,,,,,,,,,,,,,,,,,-192,0.225806452,0.201228879
,,,,,,,,,,,,,,,,,,-191,0.224651801,0.202764977
,,,,,,,,,,,,,,,,,,-190,0.223497149,0.202764977
,,,,,,,,,,,,,,,,,,-189,0.222631161,0.202764977
,,,,,,,,,,,,,,,,,,-188,0.221656924,0.202764977
,,,,,,,,,,,,,,,,,,-187,0.220790936,0.202764977
,,,,,,,,,,,,,,,,,,-186,0.219888865,0.202764977
,,,,,,,,,,,,,,,,,,-185,0.218986794,0.202764977
,,,,,,,,,,,,,,,,,,-184,0.217868225,0.202764977
,,,,,,,,,,,,,,,,,,-183,0.216966154,0.204301075
,,,,,,,,,,,,,,,,,,-182,0.216244497,0.204301075
,,,,,,,,,,,,,,,,,,-181,0.215089846,0.204301075
,,,,,,,,,,,,,,,,,,-180,0.213899112,0.204301075
,,,,,,,,,,,,,,,,,,-179,0.212708378,0.204301075
,,,,,,,,,,,,,,,,,,-178,0.211661976,0.205837174
,,,,,,,,,,,,,,,,,,-177,0.210723822,0.205837174
,,,,,,,,,,,,,,,,,,-176,0.209533088,0.205837174
,,,,,,,,,,,,,,,,,,-175,0.208847514,0.207373272
,,,,,,,,,,,,,,,,,,-174,0.208125857,0.207373272
,,,,,,,,,,,,,,,,,,-173,0.20715162,0.20890937
,,,,,,,,,,,,,,,,,,-172,0.206105218,0.20890937
,,,,,,,,,,,,,,,,,,-171,0.205275312,0.210445469
,,,,,,,,,,,,,,,,,,-170,0.204517572,0.211981567
,,,,,,,,,,,,,,,,,,-169,0.203435087,0.213517665
,,,,,,,,,,,,,,,,,,-168,0.20271343,0.213517665
,,,,,,,,,,,,,,,,,,-167,0.201667027,0.213517665
,,,,,,,,,,,,,,,,,,-166,0.200692791,0.215053763
,,,,,,,,,,,,,,,,,,-165,0.199790719,0.21812596
,,,,,,,,,,,,,,,,,,-164,0.198563903,0.219662058
,,,,,,,,,,,,,,,,,,-163,0.19777008,0.222734255
,,,,,,,,,,,,,,,,,,-162,0.196723678,0.222734255
,,,,,,,,,,,,,,,,,,-161,0.196038103,0.222734255
,,,,,,,,,,,,,,,,,,-160,0.195136032,0.224270353
,,,,,,,,,,,,,,,,,,-159,0.193800967,0.224270353
,,,,,,,,,,,,,,,,,,-158,0.192718482,0.225806452
,,,,,,,,,,,,,,,,,,-157,0.191239085,0.22734255
,,,,,,,,,,,,,,,,,,-156,0.190120517,0.230414747
,,,,,,,,,,,,,,,,,,-155,0.189182363,0.230414747
,,,,,,,,,,,,,,,,,,-154,0.188424623,0.231950845
,,,,,,,,,,,,,,,,,,-153,0.187197806,0.231950845
,,,,,,,,,,,,,,,,,,-152,0.186440066,0.231950845
,,,,,,,,,,,,,,,,,,-151,0.185429747,0.233486943
,,,,,,,,,,,,,,,,,,-150,0.184491593,0.233486943
,,,,,,,,,,,,,,,,,,-149,0.183373024,0.233486943
,,,,,,,,,,,,,,,,,,-148,0.182218373,0.233486943
,,,,,,,,,,,,,,,,,,-147,0.180919391,0.235023041
,,,,,,,,,,,,,,,,,,-146,0.179836906,0.23655914
,,,,,,,,,,,,,,,,,,-145,0.179079166,0.23655914
,,,,,,,,,,,,,,,,,,-144,0.178177095,0.23655914
,,,,,,,,,,,,,,,,,,-143,0.177094609,0.23655914
,,,,,,,,,,,,,,,,,,-142,0.176120372,0.23655914
,,,,,,,,,,,,,,,,,,-141,0.174893556,0.23655914
,,,,,,,,,,,,,,,,,,-140,0.173774987,0.238095238
,,,,,,,,,,,,,,,,,,-139,0.172512088,0.238095238
,,,,,,,,,,,,,,,,,,-138,0.171285271,0.241167435
,,,,,,,,,,,,,,,,,,-137,0.17063578,0.241167435
,,,,,,,,,,,,,,,,,,-136,0.169661543,0.244239631
